id,author_id,title,body,bookmark_count,is_bookmarked,created_at
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1001,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a001,Quarterly metrics review landed ahead of schedule,"The growth team wrapped the quarterly metrics review a week early after consolidating dashboards and aligning event naming across mobile and web.",18,false,2026-04-22T09:42:00.000Z
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1002,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a003,Design system tokens are now flowing into native builds,"The platform team finished the first pass of design token distribution for iOS, Android, and web.",27,true,2026-04-22T09:04:00.000Z
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1003,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a006,Support workflow test reduced triage time by 22 percent,"A new intake flow for customer escalations reduced average triage time and improved first response consistency.",9,false,2026-04-22T08:25:00.000Z
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1004,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a007,Mobile experimentation guardrails are ready for rollout,"Release engineering added experiment guardrails so new mobile flags must declare blast radius and expiration.",31,false,2026-04-22T07:45:00.000Z
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1005,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a009,Onboarding checklists now adapt to the engineer role,"People operations launched role-aware onboarding checklists for backend, mobile, frontend, and product engineering.",14,true,2026-04-22T06:50:00.000Z
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1006,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a010,Incident retros now publish action owners automatically,"The internal tooling team added a step to incident retros that extracts action items into a tracked follow-up board.",22,false,2026-04-22T06:00:00.000Z
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1007,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a002,Checkout performance budget reduced p95 latency,"The commerce team introduced a stricter performance budget and reduced p95 checkout latency across major regions.",11,false,2026-04-22T05:20:00.000Z
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1008,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a004,Experiment analytics naming now enforces lint rules,"Analytics event names now pass a lint rule in CI, preventing malformed metric keys before they hit production.",19,true,2026-04-22T04:35:00.000Z
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1009,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a005,Internal docs portal shipped AI-assisted search,"Developer experience launched semantic search for internal docs with source snippets and ownership metadata.",25,true,2026-04-22T03:52:00.000Z
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1010,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a008,Accessibility review found and fixed modal focus traps,"Accessibility review identified focus-loop issues in modal flows and shipped keyboard-safe defaults.",13,false,2026-04-22T03:05:00.000Z
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1011,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a001,Feature flags now include automatic expiry reminders,"Feature management now sends weekly expiry reminders to flag owners and escalates stale flags.",17,false,2026-04-22T02:24:00.000Z
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1012,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a003,Release checklist gains preflight API contract checks,"The release checklist now includes automated API contract checks to catch schema drift before deployment.",29,true,2026-04-22T01:48:00.000Z
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1013,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a006,Crash triage rotation reduced mean time to acknowledgment,"A rotating triage schedule for mobile crashes reduced acknowledgment time for high-severity issues.",8,false,2026-04-22T01:06:00.000Z
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1014,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a007,Data retention report now auto-publishes weekly summary,"Compliance automation now publishes a weekly retention summary with exceptions and remediation owners.",16,false,2026-04-22T00:22:00.000Z
5b2ca50d-59f7-4e5c-bd35-7ec2d11f1015,3f4ef70c-5f57-4e0d-a41b-1d3d6bd1a009,Mobile release notes pipeline supports localized drafts,"Release tooling now supports localized release-note drafts and approval status per language.",12,true,2026-04-21T23:40:00.000Z
